fecha,bcb_venta,bcb_compra,usdt_venta,usdt_compra,timestamp_utc
2025-12-01,9.32,,,,
2025-12-02,9.29,,,,
2025-12-03,9.23,,,,
2025-12-04,9.3,,,,
2025-12-05,9.16,,,,
2025-12-06,9.16,,,,
2025-12-07,9.16,,,,
2025-12-08,9.02,,,,
2025-12-09,8.94,,,,
2025-12-10,8.85,,,,
2025-12-11,8.88,,,,
2025-12-12,8.77,,,,
2025-12-13,8.77,,,,
2025-12-14,8.77,,,,
2025-12-15,8.77,,,,
2025-12-16,8.65,,,,
2025-12-17,8.51,,,,
2025-12-18,8.67,,,,
2025-12-19,8.68,,,,
2025-12-20,8.68,,,,
2025-12-21,8.68,,,,
2025-12-22,8.68,,,,
2025-12-23,8.58,,,,
2025-12-24,8.63,,,,
2025-12-25,8.63,,,,
2025-12-26,8.63,,,,
2025-12-27,8.63,,,,
2025-12-28,8.63,,,,
2025-12-29,8.37,,,,
2025-12-30,8.45,,,,
2025-12-31,8.55,,,,
2026-01-05,8.91,,,,
2026-01-06,8.11,,,,
2026-01-07,8.75,,,,
2026-01-08,8.53,,,,
2026-01-09,9.11,,,,
2026-01-12,9.16,,,,
2026-01-13,9.29,,,,
2026-01-14,8.9,,,,
2026-01-15,9.22,,,,
2026-01-16,9.4,,,,
2026-01-19,9.1,,,,
2026-01-20,9.29,,,,
2026-01-21,9.0,,,,
2026-01-22,9.35,,,,
2026-01-26,9.52,,,,
2026-01-27,9.28,,,,
2026-01-28,9.05,,,,
2026-01-29,9.18,,,,
2026-01-30,8.77,,,,
2026-02-02,8.82,,,,
2026-02-03,8.68,,,,
2026-02-04,9.3,,,,
2026-02-05,9.18,,,,
2026-02-06,9.0,,,,
2026-02-09,8.87,,,,
2026-02-10,9.08,,,,
2026-02-11,9.56,,,,
2026-02-12,8.85,,,,
2026-02-13,8.76,,,,
2026-02-18,8.91,,,,
2026-02-19,8.65,,,,
2026-02-20,8.88,,,,
2026-02-23,9.27,,,,
2026-02-24,9.06,,,,
2026-02-25,8.84,,,,
2026-02-26,9.27,,,,
2026-02-27,9.11,,,,
2026-03-02,8.58,,,,
2026-03-03,8.36,,,,
2026-03-04,8.87,,,,
2026-03-05,9.04,,,,
2026-03-06,8.66,,,,
2026-03-09,8.96,,,,
2026-03-10,8.67,,,,
2026-03-11,8.86,,,,
2026-03-12,9.37,,,,
2026-03-13,9.13,,,,
2026-03-16,9.24,,,,
2026-03-17,9.2,,,,
2026-03-18,9.09,,,,
2026-03-19,9.1,,,,
2026-03-20,9.59,,,,
2026-03-23,9.01,,,,
2026-03-24,8.84,,,,
2026-03-25,9.23,,,,
2026-03-26,9.0,,,,
2026-03-27,9.2,,,,
2026-03-30,8.75,,,,
2026-03-31,8.95,,,,
2026-04-01,9.03,,,,
2026-04-02,8.6,,,,
2026-04-06,9.15,,,,
2026-04-07,9.19,,,,
2026-04-08,9.2,,,,
2026-04-09,9.61,,,,
2026-04-10,9.44,,,,
2026-04-13,9.45,,,,
2026-04-14,9.35,,,,
2026-04-15,9.3,,,,
2026-04-16,9.37,,,,
2026-04-17,9.63,,,,
2026-04-20,9.63,,,,
2026-04-21,9.59,,,,
2026-04-22,9.59,,,,
2026-04-23,9.62,,,,
2026-04-24,9.68,,,,
2026-04-27,9.74,,,,
2026-04-28,9.72,,,,
2026-04-29,9.79,,,,
2026-04-30,9.9,,,,
2026-05-04,10.01,,,,
2026-05-05,10.08,,,,
2026-05-06,10.2,9.99,10.01,9.99,2026-05-06T21:04:20.573992+00:00
