fecha,tco,vol_usd,tx,timestamp_utc
2026-06-26,9.73,17323468,290,2026-07-05T15:37:47.904646+00:00
2026-06-29,9.76,17379767,1659,2026-06-30T20:59:12.130712+00:00
2026-06-30,9.76,10395157,1306,2026-07-01T00:03:32.886575+00:00
2026-07-01,9.78,29872825,3257,2026-07-02T04:16:00.691250+00:00
2026-07-02,9.8,21101076,2134,2026-07-05T15:37:47.904646+00:00
2026-07-03,9.83,22090693,2048,2026-07-05T21:40:16.435902+00:00
2026-07-06,9.89,11876844,1211,2026-07-07T04:10:51.401430+00:00
2026-07-07,9.96,23859096,1109,2026-07-08T03:34:57.712221+00:00
2026-07-08,10.1,28455257,938,2026-07-09T04:05:12.353702+00:00
2026-07-09,10.24,29768606,930,2026-07-10T04:04:26.513565+00:00
2026-07-10,10.4,36883973,994,2026-07-11T00:07:52.116915+00:00
