"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

Fecha;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-06-29;8,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;34.975;-;-;-;-;-;-;-;-;-;-;1;34.975
2026-06-29;8,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49.204;-;-;-;-;-;-;-;-;-;-;1;49.204
2026-06-29;8,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;92.667;-;-;-;-;-;-;-;-;-;-;2;92.667
2026-06-29;9,1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;30.000;-;-;-;-;-;-;-;-;-;-;1;30.000
2026-06-29;9,2300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;2
2026-06-29;9,2400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;5.589;-;-;20;5.589
2026-06-29;9,6300;-;-;11;88.037;23;8.870;-;-;-;-;-;-;253;438.730;-;-;-;-;21;10.687;-;-;-;-;-;-;-;-;308;546.324
2026-06-29;9,6600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11.538;-;-;1;11.538
2026-06-29;9,6700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-06-29;9,6800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232;445.169;-;-;-;-;-;-;-;-;-;-;-;-;232;445.169
2026-06-29;9,6900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-29;9,7000;2;410;-;-;-;-;-;-;-;-;-;-;73;300.885;-;-;1;21.410;-;-;-;-;-;-;2;115;-;-;78;322.820
2026-06-29;9,7200;1;507.000;-;-;-;-;-;-;-;-;-;-;16;13.752;1;49.000;-;-;-;-;-;-;-;-;1;19.095;-;-;19;588.847
2026-06-29;9,7250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-29;9,7300;1;1.500.000;-;-;-;-;46;86.920;21;105.419;9;123.435;483;966.621;-;-;286;193.334;-;-;7;7.542;1;730;-;-;116;676.658;970;3.660.659
2026-06-29;9,7310;1;700.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700.000
2026-06-29;9,7320;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;-;-;-;-;-;-;-;-;-;-;2;5
2026-06-29;9,7410;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;1;0
2026-06-29;9,7500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;209.935;-;-;3;209.935
2026-06-29;9,7800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3.885;-;-;-;-;-;-;-;-;-;-;-;-;2;3.885
2026-06-29;9,7900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.000.000;-;-;-;-;-;-;-;-;-;-;1;1.000.000
2026-06-29;9,8000;-;-;-;-;-;-;1;330.174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;330.174
2026-06-29;9,8050;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.655.708;-;-;-;-;-;-;-;-;-;-;-;-;1;7.655.708
2026-06-29;9,8100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.678.212;-;-;-;-;-;-;-;-;-;-;-;-;1;1.678.212
2026-06-29;9,8200;-;-;-;-;-;-;-;-;-;-;-;-;1;1.382;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.382
2026-06-29;9,9000;-;-;1;700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700
2026-06-29;9,9100;-;-;-;-;-;-;4;1.010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1.010
2026-06-29;9,9900;-;-;1;9.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.000
2026-06-29;10,0700;-;-;1;1.664;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.664
2026-06-29;10,1100;-;-;1;296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;296
2026-06-29;TOTAL;5;2.707.410;15;99.697;23;8.870;51;418.104;21;105.419;9;123.435;826;1.721.370;239;9.831.975;297;1.421.597;21;10.687;8;7.544;1;730;27;246.271;116;676.658;1.659;17.379.767
2026-06-29;TCO;9,73;;9,67;;9,63;;9,79;;9,73;;9,73;;9,70;;9,80;;9,59;;9,63;;9,73;;9,73;;9,73;;9,73;;9,76;
2026-06-30;8,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;961;-;-;-;-;-;-;-;-;-;-;1;961
2026-06-30;9,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;126.000;-;-;-;-;-;-;-;-;-;-;1;126.000
2026-06-30;9,2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;3.584;-;-;24;3.584
2026-06-30;9,5500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-30;9,5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168;257.401;-;-;9;3.759;-;-;-;-;-;-;-;-;177;261.160
2026-06-30;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;6;62.823;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;62.823
2026-06-30;9,6600;43;87.397;17;37.197;26;6.332;31;9.356;12;11.564;-;-;163;161.961;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292;313.806
2026-06-30;9,7000;1;100.000;-;-;-;-;-;-;-;-;-;-;278;304.112;-;-;-;-;-;-;-;-;-;-;2;24.275;-;-;281;428.387
